title,location,price,area,link
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),"€4,750 per month",155 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/f4a65cfa/bosboom-toussaintstraat
House Nederhoven 26,1083 AN Amsterdam (Buitenveldert-Oost),"€2,500 per month",107 m²,https://www.pararius.com/apartments/amsterdam/house-for-rent/amsterdam/a4784274/nederhoven
Apartment Borssenburgplein,1078 WB Amsterdam (IJselbuurt),"€2,500 per month",85 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/a72f577f/borssenburgplein
Apartment Bos en Lommerweg,1055 EA Amsterdam (Erasmuspark),"€2,500 per month",122 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/7cad2fd9/bos-en-lommerweg
Apartment Planciusstraat,1013 MD Amsterdam (Haarlemmerbuurt),"€3,250 per month",157 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/7a997f35/planciusstraat
Apartment Bilderdijkstraat,1053 LA Amsterdam (Da Costabuurt),"€2,800 per month",90 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/20c89dbe/bilderdijkstraat
Apartment Barbusselaan 332,"1102 VB Amsterdam (Bijlmer Centrum (D,F,H))","€1,500 per month",45 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/9ba228be/barbusselaan
Apartment Reinier Claeszenstraat,1056 WR Amsterdam (Geuzenbuurt),"€2,900 per month",112 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/3c69918a/reinier-claeszenstraat
Apartment Singel 94 B,1015 AD Amsterdam (Grachtengordel-West),"€4,250 per month",135 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/5a7aebf8/singel
Apartment Damstraat 1 E,1012 JL Amsterdam (Burgwallen-Oude Zijde),"€4,000 per month",100 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/f885d191/damstraat
Apartment Kanteel 25,1083 DA Amsterdam (Buitenveldert-Oost),"€1,950 per month",99 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/e2626af9/kanteel
Apartment Lutmastraat,1073 GP Amsterdam (Zuid Pijp),"€2,250 per month",69 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/6b242544/lutmastraat
Apartment Valeriusplein 14 G,1075 BH Amsterdam (Willemspark),"€6,500 per month",166 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/2c8d26ea/valeriusplein
Apartment Cornelis Trooststraat 26 III,1072 JG Amsterdam (Nieuwe Pijp),"€3,000 per month",107 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/43876c48/cornelis-trooststraat
Apartment Nieuwe Keizersgracht 63 A,1018 VD Amsterdam (Weesperbuurt/Plantage),"€3,500 per month",140 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/ef8ec81b/nieuwe-keizersgracht
Apartment Vosmaerstraat 4 hs,1054 TB Amsterdam (Overtoomse Sluis),"€2,750 per month",104 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/b4f2b19c/vosmaerstraat
Apartment Roerstraat 67 hs,1078 LK Amsterdam (Scheldebuurt),"€2,850 per month",110 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/f58b6e18/roerstraat
Apartment Borssenburgplein 69,1078 WB Amsterdam (IJselbuurt),"€2,475 per month",88 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/226ee0f5/borssenburgplein
Apartment Vondelkerkstraat,1054 KX Amsterdam (Overtoomse Sluis),"€2,850 per month",77 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/f8f2385f/vondelkerkstraat
Apartment Admiraal De Ruijterweg,1055 NH Amsterdam (Landlust),"€3,950 per month",130 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/f41205fb/admiraal-de-ruijterweg
Apartment Jan Evertsenstraat,1057 BT Amsterdam (Hoofdweg e.o.),"€4,250 per month",95 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/6faa3e9d/jan-evertsenstraat
Apartment Oudezijds Voorburgwal,1012 EM Amsterdam (Burgwallen-Oude Zijde),"€2,950 per month",130 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/a094142f/oudezijds-voorburgwal
Apartment Cornelis Vermuydenstraat,1018 RN Amsterdam (Oostelijke Eilanden/Kadijken),"€2,000 per month",70 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/88112f56/cornelis-vermuydenstraat
Apartment Michelangelostraat 39 hs,1077 BR Amsterdam (Apollobuurt),"€4,650 per month",200 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/a44a562a/michelangelostraat
Apartment Hembrugstraat,1013 XD Amsterdam (Spaarndammer- en Zeeheldenbuurt),"€1,950 per month",40 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/b9bb2388/hembrugstraat
Apartment Revaleiland,1014 ZG Amsterdam (Houthavens),"€3,750 per month",155 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/67b4a344/revaleiland
Apartment Nachtwachtlaan 98,1058 EC Amsterdam (Overtoomse Veld),"€1,450 per month",58 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/28b0571b/nachtwachtlaan
Apartment Buitendraaierij,1021 NM Amsterdam (IJplein/Vogelbuurt),"€1,500 per month",46 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/d8f1379e/buitendraaierij
Apartment Gerrit van der Veenstraat,1077 EE Amsterdam (Apollobuurt),"€3,475 per month",162 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/25cf4f18/gerrit-van-der-veenstraat
Apartment Derde Oosterparkstraat,1092 EH Amsterdam (Oosterparkbuurt),"€2,200 per month",106 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/02d4f573/derde-oosterparkstraat
Apartment Koningslaan 24 C,1075 AD Amsterdam (Willemspark),"€3,950 per month",83 m²,https://www.pararius.com/apartments/amsterdam/apartment-for-rent/amsterdam/26b54d99/koningslaan
